Position,Grayscale Value (0-255)
0,179
1,184
2,196
3,198
4,204
5,208
6,205
7,197
8,184
9,148
10,139
11,102
12,90
13,37
14,34
15,21
16,23
17,28
18,37
19,50
20,62
21,74
22,83
23,85
24,83
25,75
26,73
27,75
28,83
29,92
30,102
31,129
32,148
33,154
34,196
35,212
36,233
37,248
38,254
39,249
40,239
41,232
42,217
43,203
44,193
45,176
46,170
47,165
48,162
49,150
50,147
51,149
52,153
53,163
54,170
55,175
56,177
57,180
58,184
59,185
60,179
61,179
62,174
63,171
64,166
