Index,Grayscale,FirstDerivative,SecondDerivative,IsLocalMax,IsLocalMin
0,179,11,-3,0,0
1,190,8,-2,0,0
2,198,6,-2,0,0
3,204,4,-6,0,0
4,208,-2,-7,1,0
5,206,-9,-4,0,0
6,197,-13,-21,0,0
7,184,-34,25,0,0
8,150,-9,-30,0,0
9,141,-39,27,0,0
10,102,-12,-36,0,0
11,90,-48,43,0,0
12,42,-5,-11,0,0
13,37,-16,18,0,0
14,21,2,6,0,1
15,23,8,2,0,0
16,31,10,-1,0,0
17,41,9,3,0,0
18,50,12,4,0,0
19,62,16,-5,0,0
20,78,11,-15,0,0
21,89,-4,2,1,0
22,85,-2,-1,0,0
23,83,-3,2,0,0
24,80,-1,-3,0,0
25,79,-4,12,0,0
26,75,8,2,0,1
27,83,10,-1,0,0
28,93,9,18,0,0
29,102,27,-8,0,0
30,129,19,17,0,0
31,148,36,-8,0,0
32,184,28,-7,0,0
33,212,21,-8,0,0
34,233,13,-6,0,0
35,246,7,-11,0,0
36,253,-4,-6,1,0
37,249,-10,3,0,0
38,239,-7,-8,0,0
39,232,-15,1,0,0
40,217,-14,4,0,0
41,203,-10,4,0,0
42,193,-6,1,0,0
43,187,-5,-12,0,0
44,182,-17,14,0,0
45,165,-3,-6,0,0
46,162,-9,6,0,0
47,153,-3,2,0,0
48,150,-1,5,0,0
49,149,4,1,0,1
50,153,5,3,0,0
51,158,8,1,0,0
52,166,9,-7,0,0
53,175,2,-1,0,0
54,177,1,2,0,0
55,178,3,1,0,0
56,181,4,-10,0,0
57,185,-6,2,1,0
58,179,-4,0,0,0
59,175,-4,4,0,0
60,171,0,-5,0,0
61,171,-5,,0,0
62,166,,,0,0
